x,y,z
-4.782796,0.53147674,100.15878
5.9407635,6.0383635,100.47635
-0.9896676,-9.941039,100.793915
-7.630247,10.391708,101.11149
13.786438,-1.9196298,101.429054
-13.1821165,-7.8090096,101.74662
4.309908,16.826752,102.064186
8.273916,-15.535315,102.38175
-18.15387,7.1354494,102.69932
18.720295,8.288091,103.016884
-9.118518,-18.803453,103.33445
-6.749012,21.82334,103.652016
20.034834,-11.11997,103.96958
-23.628948,-4.647809,104.287155
14.289855,20.957798,104.60471
3.2431672,-25.040184,104.92229
-20.389605,17.65632,105.239845
27.240181,1.6608975,105.55742
-19.96812,-19.269274,105.87498
1.2590365,29.286325,106.19255
18.817152,-22.102308,106.51012
-29.955198,4.552389,106.82768
25.220373,18.128284,107.14525
-6.9732537,-30.151642,107.46282
-16.0171,28.360014,107.78038
31.065693,-9.4017105,108.097946
-30.278994,-13.425711,108.41551
13.000565,31.76463,108.73308
11.581219,-31.86315,109.050644
-31.03692,16.806385,109.36822
34.283306,9.587168,109.68578
-19.573683,-29.800528,110.00335
-6.2671847,36.587116,110.320915
29.259462,-22.183231,110.63847
-37.542877,-2.573123,110.95605
25.798717,28.495565,111.273605
-0.2586985,-38.047977,111.59118
-26.312088,29.458784,111.908745
39.285446,-3.1159532,112.2263
-31.920904,-23.641876,112.54388
7.166987,40.31593,112.86144
21.7037,-34.069912,113.17901
-39.921387,11.452871,113.49658
37.07472,19.59389,113.81414
-14.731295,-39.01341,114.131714
-16.129793,39.980423,114.44928
38.78977,-17.885134,114.76684
-41.55208,-12.257738,115.08441
22.078926,38.32638,115.40197
9.209637,-42.683216,115.71954
-36.420254,26.352158,116.03711
44.55281,6.093151,116.354675
-29.461437,-33.99863,116.67225
-1.7369429,46.216732,116.98981
32.274754,-32.290257,117.30737
-46.451942,2.902659,117.62494
36.005505,30.33976,117.942505
-6.5852504,-46.164776,118.26008
-27.006031,39.649532,118.577644
46.54749,-10.194916,118.8952
-41.984104,-23.215397,119.212776
14.897001,46.67023,119.53034
20.195297,-43.89894,119.8479
-45.32462,19.730238,120.16548
46.56843,17.050358,120.48303
-23.450674,-43.432045,120.800606
-12.605752,49.04371,121.11817
42.200127,-26.940313,121.43574
-50.096474,-7.815159,121.75331
31.363869,40.71449,122.07087
3.9169,-50.627487,122.38844
-37.782185,35.760906,122.70601
51.82314,0.025389194,123.02357
-38.889805,-34.339985,123.34114
5.025597,52.747498,123.65871
31.610535,-41.636322,123.976265
-52.18593,10.275038,124.29384
45.170364,28.694096,124.611404
-14.4786,-51.053516,124.92897
-24.41184,48.538048,125.246544
50.55153,-18.517233,125.5641
-50.50565,-19.713943,125.881676
23.553965,49.75925,126.199234
15.835719,-51.968063,126.5168
-47.47759,28.626036,126.83438
54.10549,11.889128,127.15193
