x,y,z,σx,σy,σz
0.5380335,-1.863837,120.78105,4.902294,6.365956,10.261318
-11.009834,1.8017007,105.73367,5.1940784,5.621257,9.774566
-6.9630976,-5.372056,95.999596,4.526186,6.2832704,9.508971
-2.7558765,-11.402977,101.95191,5.4105434,5.5901375,9.738955
14.914732,2.042938,101.9873,4.7881737,5.582597,10.792652
20.181164,-13.814793,102.68996,5.37077,5.94314,10.803726
-7.66758,-13.102375,108.0905,5.2330704,5.8932285,9.361803
9.946889,-9.69981,93.84169,5.051772,5.8456397,10.312481
-29.982635,-11.0412,96.725876,5.4278893,5.502963,10.785634
8.041801,22.247854,123.538925,4.5864415,5.4317565,9.429014
19.50062,-28.269203,96.76434,5.464068,5.692623,10.878334
27.289534,-11.253466,98.707245,4.7074943,5.915759,10.336685
-36.978592,-3.3181577,107.727554,4.751826,6.074914,10.033743
28.786638,20.066807,99.02308,4.9342027,6.3054776,9.778804
19.662975,21.592663,119.9346,5.0971837,5.8667884,9.621975
-3.1545882,-36.800446,116.41584,5.231058,5.950219,9.077572
25.936089,-0.7682352,107.353035,5.1321034,6.4966784,9.151624
-26.733122,-12.999159,114.37804,4.6974144,5.7872286,9.575137
-31.235228,-16.450874,102.34652,4.745684,5.962054,9.005536
25.591629,-17.962248,103.00866,5.0154066,6.1950703,10.9844
-21.281155,37.081757,119.86721,4.688946,5.7775784,10.339847
-25.098478,-22.539652,120.82512,5.281988,6.536862,9.641099
-2.0281568,43.066486,100.50317,4.755832,5.7394524,10.825472
14.681905,-33.038944,117.80856,5.072859,5.807497,9.243982
-38.61131,7.4717164,117.88038,4.650323,5.5585876,10.990018
32.41551,23.02398,119.93646,5.1559067,5.937988,9.411467
40.634,18.89197,117.79798,4.9816284,5.8656397,9.24486
34.65548,25.30907,126.72782,4.7370787,5.9889293,10.421583
-20.198936,-47.65953,132.75531,4.61195,5.5453935,10.150172
-44.224995,-22.407936,115.57816,4.6372175,6.052923,10.405635
28.67782,26.921705,144.12694,4.8537593,5.458865,9.242214
-10.795094,-40.614197,107.48265,4.9466057,6.1435924,9.274775
-8.207309,-44.235546,121.500725,4.569118,6.2756763,9.042111
12.257073,35.50515,132.8488,5.401827,5.5782003,10.906363
11.681102,69.06451,120.61124,4.910332,6.50823,10.953752
-17.692043,54.310978,112.310036,5.382516,5.945565,10.859894
-50.778027,-0.4236703,111.99805,4.6031613,5.753578,9.801482
-35.38938,32.921886,118.08421,4.963603,6.2123704,10.082567
48.99418,-6.3228307,139.34668,4.7614636,6.4331217,10.574821
-50.303383,1.9508018,120.276474,5.4398503,6.2131243,10.7361145
-14.415789,-50.79408,107.14682,4.619063,5.928888,9.820514
-27.198528,44.137344,121.69249,5.1021805,5.659085,10.118199
58.97419,12.129935,122.3698,5.178525,5.5526695,9.957948
56.312256,12.039805,130.43965,4.69226,5.585161,10.019789
